inventory_item_id,card_name,inventory_value,legacy_displayed_price,asking_price,market_price,label_price,json_market_price,classification,proposed_game_id,proposed_game_label,game_mapping_basis,created_at,updated_at
"chaos-00790698e8b0403d92517d5458d21c29-000aead89e5c49c7","Sultai Charm","0.24","0.24","1.00","","","","both_different","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-21 23:51:32.118856+00"
"chaos-00790698e8b0403d92517d5458d21c29-0a33c33666784c00","Cormela, Glamour Thief","0.30","0.30","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-0aaee9b1c77649d8","Rotwidow Pack","0.37","0.37","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-0beadd4342f74fda","Marshal of Zhalfir","0.27","0.27","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-0c662c3401fc458d","Skullcage","0.36","0.36","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-1176bb7cce6f41d1","Munitions Expert","0.32","0.32","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-1c5d8a9799434636","Dreamstone Hedron","0.39","0.39","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-22e66fe411764575","Join the Dance","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-23ad6d6d75fe48b5","Unstable Obelisk","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-25889c1ee4684e1b","Syndicate Guildmage","0.08","0.08","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-261188d9f1bf44af","Thundering Djinn","0.21","0.21","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-2eca5c17b39341dc","Despark","0.38","0.38","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-320f1a13989442d6","Mardu Roughrider","0.13","0.13","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-323c6e1c9de34ad7","Good-Fortune Unicorn","0.36","0.36","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-37a9c3f265de425a","Cleric of Life's Bond","0.25","0.25","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-39763b9070ef4693","Bounding Krasis","0.12","0.12","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-3c9d6f5a2fc0406f","Slitherhead","0.11","0.11","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-3fede9d696784d2b","Ruination Rioter","0.24","0.24","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-44e396ac379145a8","Dimir Keyrune","0.23","0.23","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-458bafaa7d934146","Lesser Masticore","0.34","0.34","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-4e0b0abb13e3439d","Cathodion","0.43","0.43","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-4fba38fa49cd47e8","Meteor Golem","0.25","0.25","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-568050af3a1d4821","Myr Convert","0.31","0.31","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-571cbfd2cc9e4592","Jeskai Charm","0.72","0.72","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-5a98784c8b844668","Lazotep Chancellor","0.18","0.18","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-5ba2be79fce540f2","Mortify","0.41","0.41","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-5d59c6ea7495413f","Armory of Iroas","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-5ec16c513c574f80","Oji, the Exquisite Blade","0.20","0.20","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-629ff3b8b8544753","Inscribed Tablet","0.19","0.19","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-6c535c5e127e4cf3","Tori D'Avenant, Fury Rider","0.30","0.30","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-6c66ebb27b654712","Dragonloft Idol","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-6e21b3dda6454c46","Devourer of Memory","0.18","0.18","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-6e90115d49f749cb","Relic Vial","0.27","0.27","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-72a84b0e6d514b67","Despark","0.39","0.39","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-7c1d8e1a9d9c4802","Charforger","0.13","0.13","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-7ec0c82c5b214c6c","Nyx Weaver","0.35","0.35","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-804159660a3248b3","Najal, the Storm Runner","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-8102332b366e4499","Vitu-Ghazi Guildmage","0.30","0.30","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-83f610fc9a214aa5","Combine Chrysalis","0.31","0.31","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-85853d65d03e473c","Cranial Plating","0.37","0.37","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-85cdb4f0fb594de2","Kaya, Bane of the Dead","0.29","0.29","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-87ca07d1a06b4edb","Jungle Barrier","0.35","0.35","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-891353caaa1948c5","Bartolomé del Presidio","0.25","0.25","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-8a6ff5a054724963","Chief of the Foundry","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-8d7556aa0a634177","Relic Amulet","0.18","0.18","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-909419dc3c244106","Selesnya Charm","0.16","0.16","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-92f02cb37dca42cf","Urban Evolution","0.33","0.33","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-998ded413d11434c","Underworld Coinsmith","0.34","0.34","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-9b5062371e674191","Slayer's Cleaver","0.05","0.05","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-9c6f4b6339b04ca3","Imoti, Celebrant of Bounty","0.30","0.30","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-9e36d258d4b64800","Pennon Blade","0.22","0.22","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-a037c109fe374168","Argivian Avenger","0.06","0.06","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-a16fc224e13641aa","Dimir Keyrune","0.36","0.36","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-a67d8195f8854a8e","Everflowing Chalice","0.39","0.39","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
"chaos-00790698e8b0403d92517d5458d21c29-a7de1fb24ed640f1","Voidwing Hybrid","0.52","0.52","","","","","legacy_only","magic","Magic: The Gathering","audited legacy RPC label; Scryfall reference present","2026-09-08 00:27:17.550495+00","2026-09-08 00:27:17.550495+00"
